# NAME: wrp4-25.
# COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name   "wrp4-25.stp", Remark "Group Steiner Tree problem from VLSI wire routing", End
422 808
43 410 100000
44 411 100000
45 411 100000
46 411 100000
47 412 100000
48 412 100000
49 412 100000
50 413 100000
51 413 100000
52 413 100000
53 414 100000
54 414 100000
55 414 100000
56 415 100000
57 415 100000
58 415 100000
59 416 100000
60 416 100000
61 417 100000
62 417 100000
63 418 100000
64 418 100000
65 418 100000
66 419 100000
67 419 100000
68 419 100000
69 420 100000
70 420 100000
71 420 100000
72 420 100000
73 421 100000
74 421 100000
75 421 100000
76 422 100000
77 422 100000
78 422 100000
79 422 100000
80 406 100000
81 407 100000
82 408 100000
83 416 100000
84 416 100000
85 419 100000
86 422 100000
87 422 100000
88 422 100000
